meme text,label
Dávid vs Dávid 1. rész,0
Amit ki kell jelezni digiten amit mi ki tudunk jelezni,0
Tasnádi sus,0
Tasnádi elölről vs hátulról,0
Anál szigó Grafika AdatB Bsz vizsga Digit vizsga Mérnök leszek PPT Szopassuk meg őket,1
Adatb grafika ti ketten fogtok átmenni,0
Smuky ahogy követeli a digit imsc pontjait ca 2021 kolorizált,0
Benes am I out of touch No it is the children who are wrong,0
Hey integrálás why do you always wear that mask antideriválás bonyolult vegyük észre számítások tasnádi let us keep this on,1
Én ahogy végignézem az analízis pusztítását,0
Gyertek egyetemre fasza lesz AdatB és Grafika,1
Én aki megoldotta okosba a feladat Gyakvez aki javítja,1
Az integrálás a deriválás ellentéte Kurvára nem,1
Say something smart Tasnádi Egy nagy számmal szoroztam vagy kis számmal az ugyanaz,0
Szorgalmi időszak 1. hét Vizsgaidőszak 1. hét,0
Osztom az x-et osztjuk az x-et,0
Amikor már volt nálad a katalógus fizikán és szünet lesz It was time for Thomas to leave He had seen everything,1
What if you wanted to leadni prog labor 11. but upc said elment az internet,0
Trade offer i receive nem kell leadnom you receive nem kérjük számon kohári amikor megkérdezik egy algoritmusról,1
Kohári mikor lesz a bináris fa ezen feladata izgalmas also kohári zh-n prog1,1
én tuctuc zenét hallgatva szintén én neotont hallgatva,0
én amikor full hangerőn kezd el szólni a tunak tunakos csengőhangom a buszon,0
analízis gyakvez eddig rendben vagyunk me and the boys have we ever been,1
they tried to make me go to digit i just had to say no no no,1
smuky megszabadult a magyar nyelvtantól 12 év után csináljunk mondatgeneráló programot,1
amikor már csak 5 zh van a félévben amikor rájössz hogy 5 hét van a félévből,1
anya sanya lassan 30 vagy ideje mekomolyodni én igen anya szintén én,0
when they give you the distance and the speed at which that distance is travelled yeah i have got time,0
smuky on bsz be like,0
kp got scammed,1
welcome to the rice fields motherfucker,0
keresztrejtvényfejtés be like tenyészmén csődör kanló,0
kijön végre a jó megoldás a 4. feladatra az agyam ellenőriz én elbaszom az ellenőrzést és végül egy rossz megoldást adok be szintén én,0
smuky és kp oh god he is going for the jukebox,0
amikor az anál gyakvez elkezd angolul beszélni báj dö véj,0
kp here lies legyen 5 db 10 pontos kiszh-d achi,1
0 járda létezik negatív járda létezik,1
amikor elmész bn előadásra és felismer,1
ironic,0
bsc imsc,1
i looked forward in time i saw 14000605 futures hányban sikerült valakinek telepíteni az sdlt clionnal none of them,0
Ne menjen hátul a beszélgetés nagyon zavaró bokor nándi smuky fine i will not,1
digit előadás woah this is worthless,1
hey do atheists go to hell no how about azok akik soloba húzz fel négyessel mennek ki straight to hell to the boiler room of hell all the way down,1
pimples zero blackheads zero kp gurításainak pontszáma zero,1
amikor megkérem ármint hogy gurítson helyettem ármin best i can do is lófasz a seggedbe,0
ármin matatja a golyót 2021 kolorizált,0
fizika kezdőszett solo metropol analízis,0
trade offer i receive +1 pont amit levonnanak ha kp megmondana a prog gyakveznek a hibam you receive +1 pont amit levonnanak ha megmondom a hibad proggyakveznek smuky progor,1
fizika a földszinten fizika a galérián,0
amikor papp zsolt elkezdi az előadást mikor te nagy nehezen beérsz a terembe who the fuck starts a conversation like that i just sat down,0
haverom holnap milyen lesz az első órád én igazolatlan,0
tanulás vizsgák utáni héteken tanulás vizsgahéteken tanulás vizsgák előtti héteken,0
it is alive speak my child menjünk digitre oh fuck i forgot to give you a brain,1
i love honey but you know what i do not know digit,1
integrálás középérettségin háromszög területe v t szorzat márk flexes osztálytársa,1
error error progszorgalmi be like gépház warning,1
ó műszaki szakember what is your wisdom benesóczky ma nem lesz két teremben a digit,1
számológép he does exactly what i do abakusz but better,1
smuky én fizika oktv-s volta someone akkor te miért vagy itt konzin,1
ne félj kisfiam már villamosok járnak az 1-es busz nem bánthat az 1-es busz,0
én aki 8kor egy átlagos ébresztőre kel azok akik már felkeltek a tűzjelzőre,0
amikor reggel 7:05-kor összefutsz néhány seniorral a tűzriadón first time,1
random tűzoltó tudod mi lenne jó gyakorlat söcisek nem reggel 7-kor benyomni a tűzjelzőt,1
amikor úgy döntök nem megyek be progra de megszólal a tűzjelző,1
konzultáció során smuky 2021,0
digit gyak digit zh,0
and then look at you and look at all you have done and all you have accomplished 3/8 pont digit kiszh,0
amikor moodleben megpróbálsz beírni egy számot de ez a funkció épp nem elérhető,0
fizika katalógus aláírásom a csoport katalógusos aláírásai,0
papp zsolt miért volt nálad fél óráig a katalógus én i was a business man doing business,0
eredeti aláírás új aláírás én,0
miután mérnök leszeken azzal fenyegettek hogy katalógusos lesz de nem hittél nekik addig amíg fizikán nem jelent meg,0
mindenki elkezd pakolni hogy indulni tudjon fizikára szeszlér az i-ben i did not hear no bell,0
how do we know if they are actually dead or just pretending a corvinus valódi egyetem hahaha,0
az előadások hirtelen katalógusosak lesznek én aki nem kíván bejárni a felére well fuck,0
messengercsoportba ömlenek a mémek bálint tankörin shut,0
trade offer i receive sör you receive aláírás smuky,0
aki nem jött be smuky egy sör az aláírásért,0
levi aki bennragadt a wcben én aki mémet gyárt,0
amikor nincs csapatfeeling,0
bsz1 házim az 561 carmichael szám and that is a fact,0
előadó na akkor ezt most nem mondom el hanem feladom házifeladatnak mer megtehetem én you guys are getting paid,0
modern problems require modern solutions,0
github digithub,0
sanyimsc mémek betűk,0
billy it is time you learn about uni and the importance of billy what are you doing digit,1
analízis imsc pontok léteznek imsc-sek i can milk you,0
amikor végigtanulod a szükséges 60 órát mérnök leszekhez it aint much but it is honest work,0
kicsi bogaram mit kell mondani anyunak digit,1
mit jelent a logikai nulla digitesek no,0
az élete informatikai tárgyak digit neptun,1
melyik a legjobb sereg az árnyéksereeeg,0
amikor a digites előadó bejelenti hogy bár letelt az idő mégis továbbtartja az órát it was time for thomas to leave he had seen everything,0
benesóczky digit előadás,1
analízis a jövőben segítséget kérek seniorok,1
amikor sikerül a hátsó sorban valamit kibogarázni tasnádi írásából write that down write that down,0
egyetemi ösztöndíjosztás be like shut up and take my money,0
ew i stepped in shit digit,1
kapitány milyen óránk lesz most kowalski analysis,0
benesóczky magyaráz digiten az agyamban a manók kaboom yes rico kaboom,1
miután megtudja az egyetem hogy nem tartod be az imsc szerződés követelményeit,0
a digit előadásnak semmi értelme de tök jól magyaráz ember 20 diát ad le 60-ból de fontos az és kapu akkor takarodj vissza q-i-be szambázni,1
a sorstalan rabszolga magyarázata arra hogy miért nem járt az egyetem területén az elmúlt 7 és fél évben i was a business man doing business,0
amikor digitre megyek okay get in,1
a digit anyaga hétről hétre every day we stray further from god,0
digit órai jegyzet,1
analízis1 analízis2,0
amikor 30 másik emberrel első helyen vagy a szorgalmi ranglistán,0
prog1 they call me 007 0 bejáró ember laborra 0 bejáró ember előadásra 7 kredit,1
say something smart kowalski triviális,1
amikor valaki kitörli a beceneved,0
én aki kitöri a bokáját a lépcsőn zoli aki közvetlen utánam töri ki a bokáját a lépcsőn smuky aki képes 3 lépcsőfokon gond nélkül lemenni,0
smuky és én ahogy az e épület 3adik emeletén ketten várunk a helyközi liftre,0
3 rules nincs függvénytábla nincs okoseszköz nincs számológép és az abakusz there are 4 rules,0
műszaki egyetem műszaki probléma,0
én nagyházik vizsgák zhk kiszhk,0
számológ you think you are better than me abakusz i am better than you,1
hey do atheists go to hell no how about akik a-nak nevezik el a tömböt straigth to hell to the boiler room of hell all the way down,1